year,road_t,road_n,car,puj,uv,taxi,pub,truck,trailer,mc,tricycle,total,year_cat,year_int,car_log,puj_sqrt,uv_log1p,taxi_sqrt,pub_log,trailer_log1p,mc_sqrt,tricycle_sqrt,total_log
2019-01-01,R1,ROXAS BOULEVARD,121467,2650,68850,13511,15300,975,3079,55657,213,203582,2019,2019,11.707397899933166,51.478150704935004,11.139685504156802,116.23682721065643,9.635608107380527,8.03268487596762,235.91735841179639,14.594519519326424,12.223824151105829
2019-01-01,R2,TAFT AVENUE,39103,104910,94580,4584,33820,729,1,30948,1369,100065,2019,2019,10.573954469372852,323.89813213416346,11.457201316197867,67.70524351924303,10.428807622452572,0.6931471805599453,175.920436561532,37.0,11.513575253811725
2019-01-01,R3,SSH,72648,2440,5700,5728,7630,7603,2716,40082,80,130434,2019,2019,11.193381139369665,49.39635614091387,8.648221453822641,75.68355171369801,8.939843124278502,7.907283609426348,200.20489504505127,8.94427190999916,11.778622630685234
2019-01-01,R4,SHAW BOULEVARD,50205,55080,31800,3399,990,1362,91,41082,20,104946,2019,2019,10.823869902313536,234.69128658729537,10.367221568768269,58.30094338859364,6.897704943128636,4.5217885770490405,202.6869507393113,4.47213595499958,11.561201211135119
2019-01-01,R5,ORTIGAS AVENUE,70603,111670,83510,2790,17900,3986,418,81171,461,180737,2019,2019,11.164827915496382,334.17061510551764,11.332721664147275,52.820450584977024,9.792555991828847,6.037870919922137,284.90524740692297,21.470910553583888,12.10479821488951
2019-01-01,R6,MAGSAYSAY BOULEVARD,56398,65220,1080,5444,9410,4340,938,43178,1951,119820,2019,2019,10.940188975864487,255.38206671573477,6.984716320118266,73.78346698278686,9.149528232579426,6.844815479208263,207.79316639389276,44.170125650715555,11.693745895637916
2019-01-01,R6,AURORA BOULEVARD,39342,138730,64760,6717,4630,1801,19,51539,155,120385,2019,2019,10.580047929491675,372.46476343407306,11.078443407791571,81.95730595865142,8.440312147080279,2.995732273553991,227.02202536317924,12.449899597988733,11.698450219377929
2019-01-01,R7,QUEZON AVENUE,123395,122120,78790,15371,12230,5278,403,63892,446,230099,2019,2019,11.723145870993948,349.4567212116545,11.274541364239735,123.97983707038819,9.411647228681218,6.0014148779611505,252.76866894455097,21.118712081942874,12.346264930077464
2019-01-01,R7,COMMONWEALTH AVENUE,151705,199850,110340,17245,42350,6336,470,105654,807,317471,2019,2019,11.929693124582519,447.04585894514224,11.611321786826421,131.3202193114221,10.653723700080201,6.154858094016418,325.04461232267795,28.407745422683583,12.668141754560583
2019-01-01,R8,A. BONIFACIO,38149,33380,1970,847,14520,8551,2396,18028,328,73286,2019,2019,10.549254824049264,182.70194306574848,7.585788821732034,29.103264421710495,9.583282288378786,7.781973234434385,134.2683879399764,18.110770276274835,11.202124873725472
2019-01-01,R9,RIZAL AVENUE,35836,102630,760,2602,4740,3357,56,41086,1291,95041,2019,2019,10.486708253717469,320.35917342882504,6.633318433280377,51.0098029794274,8.463792414689122,4.04305126783455,202.69681793259608,35.93048844644336,11.46206365642664
2019-01-01,R10,DEL PAN,27652,13090,1630,2391,480,4791,6173,39519,2233,84279,2019,2019,10.227453337065155,114.41153787970862,7.396335293800808,48.8978527135906,6.173786103901937,8.728102205062104,198.79386308435178,47.25462940284264,11.341888002636532
2019-01-01,R11,MARCOS HIGHWAY,106031,147270,32720,8380,2570,6199,441,81732,321,221360,2019,2019,11.5714867831684,383.7577360783754,10.395741790716682,91.54233993076646,7.851661177889265,6.091309882077698,285.88808999326994,17.916472867168917,12.307545614460807
2019-01-01,R11,MCARTHUR HIGHWAY,36050,87050,160,3974,20770,2533,348,44030,194,97927,2019,2019,10.492662142713096,295.0423698386386,5.075173815233827,63.03967004989794,9.941264916870159,5.855071922202427,209.83326714322493,13.92838827718412,11.491977582119189
2020-01-01,C1,RECTO,28622,47620,50,5395,8140,655,0,51636,2733,94622,2020,2020,10.261930931870822,218.22007240398395,3.912023005428146,73.45066371381542,9.004545458996587,0.0,227.23556059736777,52.278102490430925,11.457645286142052
2020-01-01,C2,MENDOZA,36698,5440,440,2152,2510,3115,885,24296,2490,70475,2020,2020,10.510477536644899,73.7563556583431,6.0867747269123065,46.389654018972806,7.828038032125829,6.786716950605081,155.8717421471897,49.8998997994986,11.163013315982314
2020-01-01,C2,QUIRINO AVENUE,30541,1760,1500,2636,4300,1839,769,17680,1195,55416,2020,2020,10.326825322178923,41.95235392680606,7.313220387090301,51.34199061197374,8.366370301681654,6.646390514847729,132.9661611087573,34.56877203488721,10.92262363970244
2020-01-01,C3,ARANETA AVENUE,35696,7620,230,3867,210,3546,661,38154,2237,84967,2020,2020,10.482793916672314,87.29261137118078,5.438079308923196,62.185207244167,5.3471075307174685,6.495265555937008,195.33048917155764,47.29693436154187,11.350018224795502
